run_id,t_s,event,details
A_ample_none_i0,0.0,startup_physical_check,"{'in_start_zone': True, 'slot_ok': False, 'necessary_bound_ok': True, 'remaining_distance_m': 96.0, 'min_forward_distance_m': 55.849300000000085, 'interval_width_m': 7.400000000000006, 'current_speed_forecast_min_slot_width_m': 7.399999999999999, 'current_speed_forecast_min_front_margin_m': 1.0, 'current_speed_forecast_min_rear_margin_m': -4.1000000000000005, 'physical_ok': False}"
A_ample_none_i0,1.2000000000000002,merge_started,
A_ample_none_i0,4.2,merge_completed,
A_ample_none_i1,0.0,startup_physical_check,"{'in_start_zone': True, 'slot_ok': False, 'necessary_bound_ok': True, 'remaining_distance_m': 99.0, 'min_forward_distance_m': 50.74930000000009, 'interval_width_m': 7.924999999999997, 'current_speed_forecast_min_slot_width_m': 7.925000000000001, 'current_speed_forecast_min_front_margin_m': 9.694999999999993, 'current_speed_forecast_min_rear_margin_m': -7.169999999999999, 'physical_ok': False}"
A_ample_none_i1,4.8500000000000005,missed_window,missed_window
A_ample_none_i2,0.0,startup_physical_check,"{'in_start_zone': True, 'slot_ok': False, 'necessary_bound_ok': True, 'remaining_distance_m': 97.0, 'min_forward_distance_m': 55.849300000000056, 'interval_width_m': 4.609999999999999, 'current_speed_forecast_min_slot_width_m': 4.609999999999999, 'current_speed_forecast_min_front_margin_m': 0.5, 'current_speed_forecast_min_rear_margin_m': -6.39, 'physical_ok': False}"
A_ample_none_i2,1.85,merge_started,
A_ample_none_i2,4.8,merge_exit_before_completion,started_but_failed
A_ample_prepare_i0,0.0,startup_physical_check,"{'in_start_zone': True, 'slot_ok': False, 'necessary_bound_ok': True, 'remaining_distance_m': 96.0, 'min_forward_distance_m': 55.849300000000085, 'interval_width_m': 7.400000000000006, 'current_speed_forecast_min_slot_width_m': 7.399999999999999, 'current_speed_forecast_min_front_margin_m': 1.0, 'current_speed_forecast_min_rear_margin_m': -4.1000000000000005, 'physical_ok': False}"
A_ample_prepare_i0,1.2000000000000002,merge_started,
A_ample_prepare_i0,4.2,merge_completed,
A_ample_prepare_i1,0.0,startup_physical_check,"{'in_start_zone': True, 'slot_ok': False, 'necessary_bound_ok': True, 'remaining_distance_m': 99.0, 'min_forward_distance_m': 50.74930000000009, 'interval_width_m': 7.924999999999997, 'current_speed_forecast_min_slot_width_m': 7.925000000000001, 'current_speed_forecast_min_front_margin_m': 9.694999999999993, 'current_speed_forecast_min_rear_margin_m': -7.169999999999999, 'physical_ok': False}"
A_ample_prepare_i1,4.9,missed_window,missed_window
