source_run_id,method,scenario,disturbance,init_variant,snapshot_phase,ablation,vehicle,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,a_nom_mps2,s_ref_m,target_gap_physical_m
C_ample_none_i2,C,ample,none,2,EXECUTE,no_partner,M,0.0,0.0,0.42,0.17,0.2049985572562275,-1.594290625536297,112.61131949865616,27.2
C_ample_none_i2,C,ample,none,2,EXECUTE,no_partner,R,0.012940837001465297,0.0,0.3729408370014653,0.17,0.2049985572562275,0.15217784055276468,112.61131949865616,27.2
C_ample_none_i2,C,ample,none,2,EXECUTE,no_W,M,0.0,-0.0,0.42,0.17,0.0,-1.594290625536297,112.61131949865616,27.2
C_ample_none_i2,C,ample,none,2,EXECUTE,no_W,R,0.012940837001465297,0.0,0.3729408370014653,0.17,0.0,0.15217784055276468,112.61131949865616,27.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,full,M,0.0,-0.0030617287428913657,0.41693827125710864,0.17,0.1663066875624304,-1.2488421015116633,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,full,R,0.0038368676617483288,0.0030617287428913657,0.3668985964046397,0.17,0.1663066875624304,0.007235322945177529,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,no_space,M,0.0,-0.0030617287428913657,0.41693827125710864,0.17,0.1663066875624304,-1.2488421015116633,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,no_space,R,0.0,0.0030617287428913657,0.36306172874289133,0.17,0.1663066875624304,0.007235322945177529,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,no_partner,M,0.0,0.0,0.42,0.17,0.1663066875624304,-1.2488421015116633,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,no_partner,R,0.0038368676617483288,0.0,0.36383686766174833,0.17,0.1663066875624304,0.007235322945177529,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,no_W,M,0.0,-0.0,0.42,0.17,0.0,-1.2488421015116633,104.69521840545468,30.2
C_ample_prepare_i0,C,ample,prepare,0,EXECUTE,no_W,R,0.0038368676617483288,0.0,0.36383686766174833,0.17,0.0,0.007235322945177529,104.69521840545468,30.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,full,M,0.0,-0.004237685428499251,0.41576231457150076,0.17,0.2014057142906158,-1.704711233414654,112.58176374071094,27.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,full,R,0.012095462186027249,0.004237685428499251,0.37633314761452646,0.17,0.2014057142906158,-0.11702125027975696,112.58176374071094,27.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,no_space,M,0.0,-0.004237685428499251,0.41576231457150076,0.17,0.2014057142906158,-1.704711233414654,112.58176374071094,27.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,no_space,R,0.0,0.004237685428499251,0.3642376854284992,0.17,0.2014057142906158,-0.11702125027975696,112.58176374071094,27.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,no_partner,M,0.0,0.0,0.42,0.17,0.2014057142906158,-1.704711233414654,112.58176374071094,27.2
